kode,nkk
7371011001,1777
7371011002,1155
7371011003,1322
7371011004,2993
7371011005,3514
7371011006,2556
7371011007,1310
7371011008,1262
7371011009,1878
7371021001,3189
7371021002,1911
7371021003,1076
7371021004,952
7371021005,1391
7371021006,1145
7371021007,1460
7371021008,1116
7371021009,421
7371021010,1063
7371021011,1693
7371021012,1283
7371021013,1287
7371031001,1767
7371031002,2087
7371031003,1365
7371031004,1349
7371031005,2217
7371031006,1989
7371031007,2115
7371031008,2050
7371031009,653
7371031010,2113
7371031011,2388
7371031012,2639
7371031013,895
7371031014,1756
7371041001,674
7371041002,418
7371041003,1202
7371041004,1389
7371041005,479
7371041006,782
7371041007,550
7371041008,467
7371041009,371
7371041010,1566
7371051001,1085
7371051002,1551
7371051003,704
7371051004,1762
7371051005,950
7371051006,940
7371051007,1366
7371051008,1063
7371061001,949
7371061002,1475
7371061003,1269
7371061004,616
7371061005,1966
7371061006,2512
7371061007,1196
7371061008,1340
7371061009,1164
7371061010,912
7371061011,1628
7371061012,1708
7371071001,5230
7371071002,1536
7371071003,6772
7371071004,2103
7371071005,4626
7371071006,370
7371071007,2655
7371071008,1396
7371071009,2545
7371071010,3023
7371071011,2520
7371071012,2925
7371071013,1289
7371071014,3283
7371071015,2943
7371081002,1407
7371081003,1820
7371081004,859
7371081005,2083
7371081006,379
7371081009,789
7371081010,957
7371081011,1319
7371081012,935
7371091001,3231
7371091002,5608
7371091003,3416
7371091004,5029
7371091005,3179
7371091006,7550
7371091007,3030
7371091008,3473
7371091009,2463
7371091010,1102
7371091011,4919
7371101001,6023
7371101002,6427
7371101003,4209
7371101004,6840
7371101005,2601
7371101006,5832
7371101007,2937
7371101008,5295
7371101009,7368
7371101010,3958
7371101011,4867
7371111001,6273
7371111002,4179
7371111003,7302
7371111004,4915
7371111005,7861
7371111006,7258
7371111007,683
7371111008,9127
7371111009,6450
7371111010,4527
7371111011,5126
7371121001,8388
7371121002,5808
7371121003,5086
7371121004,5249
7371121005,7401
7371121006,5914
7371121007,4143
7371121008,4380
7371131001,4345
7371131002,5344
7371131003,3038
7371131004,3325
7371131005,1524
7371131006,2629
7371131007,3596
7371131008,6085
7371131009,4397
7371131010,4347
7371131011,6874
7371141001,5059
7371141002,2581
7371141003,4053
7371141004,2570
7371141005,3980
7371141006,4748
7371141007,5996
7371141008,2966
7371151001,1293
7371151002,1540
7371151003,1439
