"kode","kelurahan_kode","rw","rt","meliputi_jalan","meliputi_lorong","rt_latitude","rt_longitude"
"7371011001001001","7371011001","001","001","JL.DAHLIA","LORONG 312","-5.162425","119.403620"
"7371011001001002","7371011001","001","002","JL.METRO TJ.BUNGA",,"-5.159547","119.401714"
"7371011001002001","7371011001","002","001","JL.DAHLIA","LORONG 312","-5.162956","119.405030"
"7371011001002002","7371011001","002","002","JL.DAHLIA","LORONG 312","-5.163459","119.404862"
"7371011001002003","7371011001","002","003","JL.DAHLIA","LORONG 312","-5.163484","119.403868"
"7371011001002004","7371011001","002","004","JL.DAHLIA","LORONG 312","-5.163745","119.405145"
"7371011001003001","7371011001","003","001","JL.ANGGREK I",,"-5.163670","119.407574"
"7371011001003002","7371011001","003","002","JL.ANGGREK II & JL.ANGGREK III",,"-5.163410","119.406756"
"7371011001003003","7371011001","003","003","JL.NURI","LORONG 312","-5.164573","119.406206"
"7371011001003004","7371011001","003","004","JL.DAHLIA","LORONG 4","-5.164525","119.405782"
"7371011001003005","7371011001","003","005","JL.ANGGREK",,"-5.164107","119.406969"
"7371011001004001","7371011001","004","001","JL.NURI BARU","LORONG 312","-5.165251","119.407380"
"7371011001004002","7371011001","004","002",,,".","."
"7371011001004003","7371011001","004","003","JL.NURI","LORONG 312","-5.166198","119.406992"
"7371011001004004","7371011001","004","004","JL.NURI","LORONG 312","-5.165491","119.406717"
"7371011001005001","7371011001","005","001","JL.NURI BARU","LORONG 314","-5.166170","119.407229"
"7371011001005002","7371011001","005","002","JL.NURI BARU","LORONG 315","-5.166515","119.406964"
"7371011001005003","7371011001","005","003","JL.NURI BARU",,"-5.167272","119.407182"
"7371011002001001","7371011002","001","001","JL.DAHLIA 1","LORONG 312","-5.161608","119.405819"
"7371011002001002","7371011002","001","002","JL.DAHLIA","LORONG 312","-5.161882","119.404870"
"7371011002002001","7371011002","002","001","JL.DAHLIA & JL.FLAMBOYAN","LORONG 309","-5.161319","119.407080"
"7371011002002002","7371011002","002","002","JL.FLAMBOYAN",,"-5.160538","119.406196"
"7371011002002003","7371011002","002","003","JL DAHLIA & JL.FLAMBOYAN","LORONG 312","-5.160280","119.405712"
"7371011002002004","7371011002","002","004","JL.FLAMBOYAN",,"-5.160422","119.405299"
